fiscal_year,county,total_grant_amount,avg_wage
2014,Montgomery County,27078396.84,67512
2014,Prince George's County,24263386.19,53143
2015,Montgomery County,17833092.3,70229
2015,Prince George's County,24560617.54,54646
2016,Montgomery County,17129654.92,71704
2016,Prince George's County,16665443.53,55282
2017,Montgomery County,26824944.13,73354
2017,Prince George's County,24017401.73,56690
2018,Montgomery County,22527326.09,75650
2018,Prince George's County,18398169.58,58219
2019,Montgomery County,25171144.15,77040
2019,Prince George's County,18509012.16,59939
2020,Montgomery County,48887948.93,84977
2020,Prince George's County,33866980.56,64675
2021,Montgomery County,45754482.52,90594
2021,Prince George's County,44508926.44,66718
2022,Montgomery County,78486821.89,89899
2022,Prince George's County,31260261.34,68862
2023,Montgomery County,56819461.17,92042
2023,Prince George's County,34706623.79,71518
2024,Montgomery County,62558158.86,94635
2024,Prince George's County,40851189.07,73499
